Ticket ID,Priority,Title,Category,Description,Acceptance Criteria,Technical Details,Dependencies,Estimated Hours,Status,Phase,Component
SHIELD-001,CRITICAL,Strip Local Detection Logic from Extension,Architecture Realignment,"ARCHITECTURAL FIX: Remove all regex-based detection from extension. The extension must be a THIN CLIENT that only extracts features and displays VPS Agent results. Currently detector.js and scamPatterns.js contain duplicate detection logic that should ONLY exist in the VPS Fraud Agent.","1. Remove detector.js from manifest.json
2. Remove scamPatterns.js from manifest.json
3. Update content.js to ONLY use CloudAnalyzer
4. Remove all local scoring/detection code
5. Extension sends 100% of features to VPS
6. Extension displays ONLY VPS Agent verdict","Files to modify:
- extensions/manifest.json (remove detector.js, scamPatterns.js)
- extensions/src/content.js (remove detector initialization, local scoring)
Keep: cloudAnalyzer.js, FeatureExtractor class",None,4,PENDING,Phase 1,Extension

SHIELD-002,CRITICAL,Update content.js to Pure Thin Client,Architecture Realignment,"Refactor content.js to be a pure sensor/display layer. Remove Math.max() combination of local+cloud scores. The VPS Agent verdict is the ONLY authority.","1. Remove 'const detector = new ScamDetector()' line
2. Remove localAnalysis variable and usage
3. CloudAnalyzer.analyze() result is the ONLY verdict
4. Remove all local isScam/isSuspicious logic
5. Display only what VPS Agent returns","content.js lines 11, 155-165 need refactoring. performCloudAnalysis() should be the ONLY path.",SHIELD-001,3,PENDING,Phase 1,Extension

SHIELD-003,CRITICAL,Enhance VPS FeatureExtractor for Rachel Good Pattern,VPS Agent Enhancement,"Add Rachel Good scam-specific features to the VPS-side feature extraction. Currently these patterns are only in the extension's local detector.","1. Add gmail_recruiter_combo feature (Gmail + Recruiter title)
2. Add vague_address_pattern feature
3. Add location_inquiry feature
4. Add experience_inquiry feature
5. Add generic_greeting feature
6. All features are numerical (0-1 scale)","VPS file: src/contextual/feature_extractor.py
Add features to PrivacyFirstFeatureExtractor class",None,4,PENDING,Phase 2,VPS Agent

SHIELD-004,CRITICAL,Add Financial Phishing Features to VPS,VPS Agent Enhancement,"Add Destiny Mastercard and financial phishing detection features to VPS Agent. Currently only in extension's scamPatterns.js.","1. Add credit_card_mention feature
2. Add credit_limit_mention feature
3. Add security_deposit_mention feature
4. Add mastercard_destiny_combo feature
5. Update MLService to use these features","VPS file: src/contextual/feature_extractor.py
Add to feature vector in ml_service.py",SHIELD-003,3,PENDING,Phase 2,VPS Agent

SHIELD-005,HIGH,Implement Persistent Feedback Storage,VPS Agent Enhancement,"The /api/v1/report-scam endpoint only logs data. Must persist to PostgreSQL for ML retraining.","1. Create PostgreSQL table: training_feedback
2. Store: features JSON, label, timestamp, category
3. Update report-scam endpoint to INSERT
4. Add /api/v1/training-data endpoint for batch export
5. Test persistence","VPS file: src/api/scam_detection_api.py
New file: src/db/models.py
Requires: PostgreSQL connection",PostgreSQL,6,PENDING,Phase 2,VPS Agent

SHIELD-006,HIGH,Train XGBoost Model with Real Data,ML Training,"Current MLService has fallback_scoring because model file may not exist. Train real XGBoost model with labeled scam data.","1. Collect 1000+ labeled training samples
2. Create train_model.py script
3. Train XGBoost with Rachel Good patterns
4. Train with financial phishing patterns
5. Save model to models/scam_detector_v1.pkl
6. Achieve >95% accuracy on test set","VPS file: src/ml/train_model.py
Model output: models/scam_detector_v1.pkl",SHIELD-005,8,PENDING,Phase 2,VPS Agent

